Epoch	MAP	MRR
1	0.5633185140189929	0.5680379022790062
2	0.6142085946299582	0.6187140077572179
3	0.6525903257605761	0.6618022654878136
4	0.6517501812641895	0.6622737076259225
5	0.6516240292293305	0.6649235726214665
6	0.6666569349236663	0.6796849220257276
7	0.6416722136493377	0.6544657217496724
8	0.6256113779463215	0.6361795668894432
9	0.596384248043318	0.6028023526867313
10	0.5862402417184599	0.5974442395738692
11	0.6178294325655563	0.6271652767224424
12	0.6257140116128318	0.6387498109357221
13	0.6004110203173125	0.6116966151122208
14	0.6016978968741314	0.6134233410286423
15	0.5972982835224674	0.605155358800296
16	0.6013092146709594	0.6105538339924685
17	0.6196747051318867	0.6309793923016793
18	0.6054466286324237	0.6162986741891731
19	0.6020816362635584	0.6118202479514877
20	0.6085161093689356	0.6190092143795844
