Epoch	MAP	MRR
1	0.5854425090776335	0.595370562520321
2	0.5874251514923748	0.5973532049350622
3	0.5859514542597815	0.5955864537057113
4	0.5889246160341128	0.598581750589897
5	0.5896203917500172	0.5995445261098382
6	0.5895181945980744	0.599517448168817
7	0.5891837211154528	0.5991353200089112
8	0.5921325669655331	0.6025642755983606
9	0.6017551698389766	0.6105794297152325
10	0.6052131030808604	0.6133229139401981
11	0.6057727115108392	0.6140087849964395
12	0.6042497660064122	0.6124858394920124
13	0.6063385551322384	0.6145746286178386
14	0.6054812163119366	0.6132028865053557
15	0.6058241518400573	0.6135458220334765
16	0.6063522588496458	0.6156171389196082
17	0.6074022215669108	0.6166752237941182
18	0.6069817172883818	0.6164090405032435
19	0.6063595342587913	0.6148315370738884
20	0.6061956663480098	0.6154066135748906
21	0.6061466755582783	0.615387017258998
22	0.6063984128470526	0.6156387545477723
23	0.6107022537249676	0.6200969164133416
24	0.6141969300591501	0.6235915927475242
25	0.6098032129298905	0.6196534469883909
26	0.6130502943446132	0.6221885719000589
27	0.614299959174525	0.6235117229145679
28	0.6180722499838528	0.6262552071395336
29	0.6146217083348054	0.6228307509372997
30	0.6138109849932182	0.6232156540999808
31	0.610095743603527	0.6208272465988519
32	0.6118663932338115	0.621231869708789
33	0.6060873641386968	0.61551249192151
34	0.6126643689954142	0.6225819578441273
35	0.6252227262459418	0.6347272734819706
36	0.630483851298853	0.6381667576700308
37	0.6379099472436438	0.644040580442178
38	0.6420388099218891	0.6501876626695072
39	0.6476463710850058	0.656661795532529
40	0.6526664424631018	0.6609649683542203
41	0.6576179590088214	0.6684607076400831
42	0.644135252002899	0.654616058918891
43	0.6530691067519316	0.6632665836006432
44	0.652575784345029	0.6625772980348145
45	0.6417640157379007	0.6521613234394643
46	0.6307272177926664	0.6401887909422406
47	0.6381991319071674	0.6485682812843305
48	0.6427891235341961	0.6543834880254633
49	0.6394671717922428	0.6511101871849873
50	0.6460699425925445	0.6549831239851497
51	0.6436900294101622	0.6521758032765945
52	0.6395991267468482	0.6476216770993746
53	0.6349111213847037	0.6439708318793289
54	0.6280699870490161	0.6369945914517449
55	0.6154960229136867	0.6240439635138257
56	0.6098765435469303	0.6161319300595188
57	0.6068523272511092	0.6137844547182162
58	0.6038774511898133	0.6101150445673245
59	0.599666961176854	0.6069245279508818
60	0.6016981282746228	0.6090536766281136
61	0.6015365614463896	0.6076069180825899
62	0.5931220143541296	0.6005401451207552
63	0.585024751568232	0.5930884102180397
64	0.5880295200050992	0.5959902979964707
65	0.589068354671815	0.5974484551463491
