Epoch	MAP	MRR
1	0.5801501851696784	0.5890184289875648
2	0.6039129989542454	0.6150483868645013
3	0.6098614002362909	0.6210303544406718
4	0.6366826432542648	0.6495656242902673
5	0.6426294113923909	0.6570831125176321
6	0.6435881451833367	0.6573820294450575
7	0.6378950548763981	0.6523023901110323
8	0.6319034801502554	0.6439850024927859
9	0.6314888984682685	0.6434233576208889
10	0.6328041609737759	0.6446014699302409
11	0.6351435776851732	0.6463777702994968
12	0.640680981981975	0.6524390313171847
13	0.6308760321307287	0.64188801596209
14	0.6379555798121284	0.6488005867018214
15	0.6369346834007328	0.6469493286777237
16	0.6371509771787837	0.648292604923534
17	0.6340104741723347	0.6474403204910028
18	0.6360009356874204	0.6488054277203075
19	0.631772923187803	0.6448528359590736
20	0.6237499033766333	0.6344369418394759
