Epoch	MAP	MRR
1	0.5173607603139767	0.5266760184921331
2	0.5187935659269846	0.5231754487745773
3	0.6314550131720373	0.6395571677979084
4	0.5580800110953047	0.5628283998472815
5	0.6303884432560904	0.6374229639480183
6	0.5382364200852143	0.5464247939507849
7	0.6282978612564435	0.6349989040005144
8	0.54130164579221	0.5490426665936597
9	0.5989490826479135	0.6033876845605244
10	0.6098994783749974	0.6154610857339903
11	0.5728910736485843	0.5829344883175674
12	0.4611790042521803	0.46464277701097384
13	0.634976171574259	0.641148024538213
14	0.6158240589192366	0.6216669635805439
15	0.5703262630414049	0.5782574266960616
16	0.6021139668719889	0.6067992967096664
17	0.6086611419558954	0.6168693103878289
18	0.6155660407599838	0.6214612022636714
19	0.5758323090945165	0.5807329461468896
20	0.5725676097540946	0.5759338284029641
21	0.4238111516972875	0.4388648969592465
22	0.6449352804416545	0.6545829738750706
23	0.5333402567582516	0.5414843982696486
24	0.6271189111350456	0.6366800434721402
25	0.6408278816518175	0.6509306610976906
26	0.3928660370859279	0.4053535815699941
27	0.5988311504923708	0.6085201052612091
28	0.6028218265141594	0.6174911222750729
29	0.6197348574704001	0.6304691536173018
30	0.602619441399398	0.6136207185589904
31	0.6517085489508999	0.6646738549516328
32	0.6347085475916266	0.6483706239697524
33	0.6236773607476828	0.6370064549076896
34	0.5924423443208371	0.600627382746277
35	0.6262959066392971	0.6400789118950261
36	0.6110642181233574	0.6238990601664656
37	0.609880860443086	0.6198278190380587
38	0.588562775425186	0.5980740317728621
39	0.6263542503920133	0.6378438393688936
40	0.613101667115986	0.6243155523838169
41	0.6413399696778229	0.6511671606375958
42	0.6523994366425139	0.664579940487711
43	0.530164457939608	0.5442809962895581
44	0.633173119440525	0.6465430317282168
45	0.6175814702201824	0.6254732900363178
46	0.5988627888580882	0.6087293878960547
47	0.6076625970713041	0.6193370280358583
48	0.6542565875717655	0.6649111935967417
49	0.6108299262254182	0.6202743489598972
50	0.6271649453990121	0.6397333119555345
51	0.6401627824285776	0.653404534423053
52	0.6227745301108114	0.6395282224187218
53	0.6495503746131448	0.6643625122020185
54	0.6128134088033326	0.6288351599716886
55	0.6241183307580801	0.6380502818411317
56	0.617682482592733	0.62928504965542
57	0.6373764179955176	0.6444814273517979
58	0.5910660591784697	0.6030618308964637
59	0.6423165718932311	0.6511985385442176
60	0.6107756703072609	0.6212787629272742
61	0.6041758686457308	0.6142500080408579
62	0.628673832781733	0.6395428926680121
63	0.6430572950835968	0.6543060677319937
64	0.6524358533434473	0.6641587681529585
65	0.6014493692752403	0.6124248746549324
66	0.5943616724135731	0.60395580071506
67	0.6184681970195532	0.6309227026638066
68	0.5744324886519641	0.5872846791982596
69	0.5792201113952874	0.590399542389533
70	0.5799255093463518	0.5901705838071126
71	0.5880018131485378	0.6055148332127271
72	0.5197576355368995	0.5365176922863971
73	0.6282602937579103	0.6398342757729106
74	0.5486320250663024	0.5589107411456723
75	0.5708811950689795	0.5833125337348861
76	0.532688906356992	0.5539732040119038
77	0.5257889772550266	0.5416656445977434
78	0.5483140303038632	0.5648234424468992
79	0.5736519846270496	0.5881610045190292
80	0.5186975493486596	0.5373353342083036
81	0.5468320790670103	0.5657489817802092
82	0.5438221541822046	0.5613607431327111
83	0.5665110480331403	0.5793465372737628
84	0.532873116022347	0.5567577325970221
85	0.546578268284877	0.564745630388332
86	0.5240945300542824	0.5415362390083368
87	0.5479348954657597	0.5608115592683496
88	0.5280414867035906	0.5434317948408126
89	0.5156799907755453	0.5278529557668991
90	0.517805844577636	0.5313506550930585
91	0.5147773732651472	0.5277421709520477
92	0.5308378872623373	0.5421142680603231
93	0.5169133710212714	0.5284264292935891
94	0.5004332063562326	0.5118083350334671
95	0.4789377025683054	0.49117157777893683
96	0.5128597685376963	0.5228150504404804
97	0.5402567145595469	0.5528076752586557
98	0.5036304932728317	0.5110616595002943
99	0.5184633799401074	0.5309154946887622
100	0.4991055498036063	0.5088486809136821
