Epoch	MAP	MRR
1	0.6323678463379565	0.6401870420388935
2	0.6296338467339165	0.6340522946598319
3	0.6337299491438924	0.6404489617271024
4	0.6761699132128081	0.6871200012019106
5	0.6712294861865009	0.6844013627782689
6	0.665263874541528	0.6788816308471929
7	0.6588317441142184	0.6714920082204031
8	0.6576170531571764	0.6689411183238343
9	0.6534019963803914	0.6642522829251223
10	0.6515029729137757	0.6639308279740378
11	0.6585588473897663	0.6734378749629294
12	0.6468538876116688	0.6572168551132163
13	0.6388055382846051	0.6494910284852183
14	0.6337349915473917	0.6425343363433411
15	0.6238838032199201	0.6341683424835202
16	0.6205411389773208	0.6305856233712364
17	0.6111815629143519	0.6217012579686633
18	0.61661442348322	0.6283805260475555
19	0.6150958014200618	0.6269607161602202
20	0.6213096568074306	0.6326169386192749
