Epoch	MAP	MRR
1	0.6273686019056391	0.6343962564641576
2	0.6289461053349944	0.635082127520399
3	0.6276878847503395	0.6350584748369789
4	0.6273686019056391	0.6343962564641576
5	0.6273686019056391	0.6343962564641576
6	0.6273686019056391	0.6343962564641576
7	0.6273686019056391	0.6343962564641576
8	0.6273686019056391	0.6343962564641576
9	0.6273686019056391	0.6343962564641576
10	0.6273686019056391	0.6343962564641576
11	0.6273686019056391	0.6343962564641576
12	0.6273686019056391	0.6343962564641576
13	0.6273686019056391	0.6343962564641576
14	0.6273686019056391	0.6343962564641576
15	0.6273686019056391	0.6343962564641576
16	0.6273686019056391	0.6343962564641576
17	0.6280544729618805	0.635082127520399
18	0.6311361706423437	0.6374779541446207
19	0.6326211072637326	0.6389689071787837
20	0.631274084787157	0.6379588038175547
21	0.6289461053349944	0.6352878888372715
22	0.6292579391344826	0.6355997226367597
23	0.6313419319592161	0.6376837154614933
24	0.6348170119775061	0.641158795479783
25	0.6385143564925753	0.6456049245198043
26	0.6277784589331432	0.6344974715163532
27	0.6287189924172498	0.6350607759195269
28	0.6329532536953325	0.6392869150403646
29	0.6415173757494022	0.648270192850803
30	0.6390467279153117	0.6474601166527743
31	0.6400792537366615	0.6475717640841099
32	0.6371400212246543	0.6449011644024639
33	0.6265709528094053	0.6370743984168146
34	0.6257225135494306	0.6346793103534495
35	0.6300035608628852	0.6397090771116113
36	0.6345399167109695	0.644320252401799
37	0.6443711148909332	0.6527969665883897
38	0.6489650691762455	0.6577357863420242
39	0.6517908100825442	0.6606191704957138
40	0.6598899340381497	0.6667681084347753
41	0.6550426610785852	0.6638666048978323
42	0.6586704950285197	0.6682068046265578
43	0.6556760357840606	0.6663860830527498
44	0.6605286403125911	0.6681882760586465
45	0.6612848217169207	0.6674693447841596
46	0.6603563720230388	0.6667891893200535
47	0.6600148038614576	0.666946108304133
48	0.64929443141269	0.6558433107815826
49	0.6552707061186595	0.6620186662421881
50	0.6468633453038911	0.652451515105836
51	0.6500989928296621	0.6562247252062067
52	0.6436040185897479	0.649422338601714
53	0.6380133874514287	0.6444034132305738
54	0.6280040038309338	0.6337400025671635
55	0.6205517138940758	0.6253997945355972
56	0.6120089641679278	0.6165644997435124
57	0.6042307027631233	0.6106236527532827
58	0.6070087860196016	0.6131482086729003
59	0.603777101152114	0.609782838332221
60	0.6028276448014235	0.608696207770282
61	0.6038683698960937	0.609512424018597
62	0.5938955234214605	0.60018269339257
63	0.5943496531965776	0.5999901447432312
64	0.6036797322756822	0.6099321574630219
65	0.6002498659600134	0.6071967355917975
